CName:U1   CNum:101
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:Z1   CNum:205
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:Z2   CNum:206
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:IP   CNum:211
 -7000.0      0.0
 -4002.0      0.0
 -4000.0      0.0
     0.0      1.0
   500.0    199.0
  2600.0    199.0
  3620.0      2.0
  4000.0      1.0
  4002.0      0.0
  7000.0      0.0
CName:PH   CNum:212
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:NE   CNum:214
 -7000.0      0.0
    -2.0      0.0
     0.0    -49.0
  2000.0   -133.1
  2002.0      0.0
  7000.0      0.0
CName:PV   CNum:213
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     46.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:M1   CNum:215
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:M2   CNum:216
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:KP   CNum:221
 -7000.0      0.0
 -4994.7      0.0
 -4992.7     10.0
     0.0     10.0
     0.0     20.0
  4500.9     20.0
  4502.9      0.0
  7000.0      0.0
CName:KQ   CNum:222
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:KR   CNum:223
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
  4502.9      0.0
  7000.0      0.0
CName:KS   CNum:224
 -7000.0      0.0
 -4994.7      0.0
 -4992.7    -49.0
 -4922.4     42.0
 -4430.4     42.0
 -4140.0     45.0
 -3973.5     61.0
 -3740.0     49.0
 -3740.0     53.2
 -2977.7     54.7
 -1570.4     59.2
  -937.4     56.9
  1192.1     74.0
  2080.0     50.8
  2975.0     48.7
  3315.3     47.5
  4500.9   -133.1
